AGEP,SEX,PINCP,PUMA,state
18,1,1500,03228,42
25,2,45000,03230,42
19,1,0,03229,42
50,1,20000,03229,42
23,1,0,03229,42
55,1,13000,03224,42
95,2,7200,03222,42
37,1,0,03221,42
18,1,0,03229,42
46,1,360,03227,42
18,2,0,03229,42
18,2,460,03229,42
64,1,13000,03216,42
21,1,0,03223,42
19,2,0,03229,42
18,2,0,03224,42
88,2,7200,03227,42
84,2,28500,03223,42
27,1,35600,03230,42
64,1,23000,03222,42
87,2,7200,03229,42
18,2,0,03229,42
21,1,25400,03223,42
37,1,20000,03230,42
82,1,32200,03222,42
20,2,500,03224,42
20,1,14000,03216,42
29,1,0,03230,42
1,1,-19999,03225,42
33,1,0,03231,42
28,2,45000,03230,42
89,2,26000,03229,42
18,1,7000,03229,42
18,2,5000,03229,42
33,1,0,03223,42
20,1,0,03227,42
63,1,0,03227,42
23,2,0,03230,42
68,2,15000,03221,42
19,1,10000,03229,42
23,1,0,03227,42
60,1,10100,03229,42
50,1,1200,03223,42
22,1,8000,03229,42
48,2,9200,03216,42
43,1,0,03223,42
19,2,2700,03216,42
18,2,3000,03229,42
71,1,76000,03231,42
32,1,104000,03230,42
74,2,3900,03221,42
89,1,14200,03230,42
75,2,35400,03230,42
59,1,14400,03223,42
33,2,24000,03223,42
29,2,0,03231,42
30,1,22000,03231,42
65,1,18000,03227,42
83,2,1700,03227,42
75,2,18000,03229,42
51,1,0,03229,42
30,1,250000,03230,42
30,2,120000,03230,42
28,2,35000,03230,42
39,2,8000,03228,42
36,1,70000,03228,42
3,2,-19999,03228,42
32,2,0,03227,42
67,2,7500,03227,42
21,1,28200,03227,42
33,2,65000,03230,42
34,1,100000,03230,42
0,2,-19999,03230,42
34,1,35000,03224,42
32,2,40000,03224,42
12,1,-19999,03224,42
8,2,-19999,03224,42
6,1,-19999,03224,42
63,2,12960,03225,42
76,1,9600,03231,42
54,1,70000,03231,42
37,1,13000,03231,42
20,1,0,03231,42
19,1,0,03231,42
14,2,-19999,03231,42
13,1,-19999,03231,42
8,1,-19999,03231,42
7,1,-19999,03231,42
3,1,-19999,03231,42
39,2,1000,03231,42
35,2,5700,03222,42
17,1,0,03222,42
16,1,0,03222,42
15,2,0,03222,42
10,2,-19999,03222,42
9,2,-19999,03222,42
7,2,-19999,03222,42
1,1,-19999,03222,42
32,2,54000,03222,42
8,2,-19999,03222,42
68,2,35000,03222,42
55,1,8400,03222,42
57,2,40000,03225,42
59,1,40000,03225,42
27,1,90000,03225,42
63,1,70000,03224,42
62,2,17000,03224,42
56,2,27000,03229,42
32,2,3000,03228,42
32,1,256000,03228,42
38,2,24000,03223,42
14,1,-19999,03223,42
11,2,-19999,03223,42
5,1,-19999,03223,42
30,2,82000,03231,42
29,1,80000,03231,42
71,1,22200,03216,42
68,2,90000,03216,42
45,1,40000,03216,42
45,2,72000,03216,42
63,2,38800,03225,42
30,2,54000,03230,42
34,2,0,03230,42
72,2,34700,03224,42
58,2,19200,03229,42
26,1,0,03229,42
46,2,1170,03224,42
26,2,14600,03230,42
60,2,90000,03225,42
64,1,0,03225,42
53,1,950,03225,42
84,2,14000,03225,42
37,2,40000,03225,42
15,2,0,03225,42
28,2,40900,03228,42
81,1,16000,03231,42
39,1,30000,03225,42
43,2,67000,03225,42
86,2,10600,03225,42
33,1,55000,03230,42
33,2,53000,03230,42
0,2,-19999,03230,42
61,2,11000,03222,42
37,2,9500,03222,42
26,1,0,03222,42
78,2,1500,03225,42
95,1,51000,03230,42
41,2,220000,03231,42
70,2,28400,03230,42
57,1,202000,03222,42
85,2,25900,03221,42
33,1,200000,03230,42
81,2,39200,03216,42
84,1,19000,03216,42
28,1,84000,03230,42
76,1,16800,03225,42
60,2,26900,03225,42
62,1,545000,03223,42
63,2,0,03223,42
58,1,80000,03216,42
56,2,45000,03216,42
21,2,8000,03216,42
47,2,53000,03224,42
46,1,19000,03224,42
6,1,-19999,03224,42
4,2,-19999,03224,42
53,1,69000,03231,42
29,1,51000,03231,42
61,2,65000,03225,42
43,2,120000,03224,42
27,1,41500,03224,42
33,2,2200,03227,42
14,2,-19999,03227,42
13,2,-19999,03227,42
12,1,-19999,03227,42
8,2,-19999,03227,42
3,1,-19999,03227,42
70,2,26000,03224,42
65,1,11400,03227,42
54,2,9500,03227,42
15,2,1000,03227,42
15,2,0,03227,42
39,2,30000,03227,42
77,1,39700,03216,42
73,2,62700,03216,42
74,2,11900,03227,42
35,2,44400,03228,42
19,1,30000,03228,42
23,2,30000,03228,42
21,2,30000,03228,42
74,2,97100,03227,42
60,2,60000,03222,42
32,1,38000,03222,42
30,2,25000,03222,42
95,1,40000,03223,42
62,1,71600,03223,42
58,2,-1600,03223,42
62,2,45000,03228,42
35,1,15000,03228,42
62,1,59000,03228,42
64,2,24000,03231,42
36,1,64000,03231,42
5,1,-19999,03231,42
1,1,-19999,03231,42
38,2,38500,03231,42
33,1,96000,03231,42
34,2,70000,03231,42
66,2,0,03231,42
37,2,0,03231,42
60,1,207300,03221,42
60,2,82300,03221,42
36,1,82000,03223,42
9,2,-19999,03223,42
7,2,-19999,03223,42
69,2,13000,03224,42
89,1,42000,03224,42
88,2,0,03224,42
37,1,48000,03216,42
34,2,0,03216,42
9,2,-19999,03216,42
68,2,0,03216,42
48,2,16000,03221,42
57,1,100000,03221,42
7,1,-19999,03221,42
5,1,-19999,03221,42
71,1,4000,03229,42
33,1,18800,03223,42
24,2,0,03223,42
34,1,30000,03230,42
33,2,93200,03230,42
61,1,75030,03230,42
63,2,89000,03230,42
59,1,15500,03229,42
53,2,49800,03229,42
18,1,0,03229,42
13,1,-19999,03229,42
13,1,-19999,03229,42
58,2,14700,03216,42
48,2,87000,03231,42
48,1,0,03231,42
17,1,700,03231,42
11,2,-19999,03231,42
42,2,92000,03216,42
52,1,0,03216,42
80,2,14500,03225,42
6,2,-19999,03225,42
29,2,6000,03231,42
9,2,-19999,03231,42
30,2,33300,03231,42
7,1,-19999,03231,42
2,1,-19999,03231,42
53,2,36000,03221,42
54,1,56900,03221,42
19,1,0,03221,42
11,1,-19999,03221,42
21,2,7700,03229,42
21,2,5000,03229,42
31,2,79000,03231,42
31,1,130000,03231,42
1,2,-19999,03231,42
45,1,190600,03230,42
30,2,65000,03224,42
38,2,0,03228,42
15,1,0,03228,42
